약어,원어,설명,참고자료
FRT_DEICER,FRONT DEICER,앞유리 & 와이퍼 결빙 방지 장치,-
FRU,Face Recognition Unit,얼굴 인식 유닛.,-
FSIS,FRONT SIDE IMPACT SENSOR,"A/BAG SYSTEM의 일부로서 측면에서 발생하는 충격을 감지하여 SIDE A/BAG을 전개시키기 위한 충격 감지 센서 통상 용량 : 0.2mA, 정상소비전류 : 5~8mA, 최대구속전류 : 35mA로 설정.",-
FSS,FULL SERVICE SUPPLIER,NOTHING,-
FTC,FREQUENCY TRAVEL CONTROL,주파수 감응 제어기.,-
FTCS,FULL TRACTION CONTROL SYSTEM,"얼음이나 눈, 비로 인한 저마찰로에서 발진 및 가속時 차륜 SLIP에 의한 발진성, 가속성, 등판성, 조향성 불능 등의 문제를 엔진 동력 및 브레이크를 이용 각 차륜의 SLIP 현상을 방지시킴으로서 ①발진성/가속성/등판성 향상 ②조향성능 향상 등을 도모할 수 있는 장치이다.",-
FTIV,Fuel Tank Isolation Valve,PHEV의 ECU 신호에 따라 연료증발가스를 캐니스터로 배출하거나 차단하여 연료탱크의 적정압력을 유지하는 장치.,-
FTP,FEDERAL TEST PROCEDURE,"미국 배출가스 시험 절차. 미국 연방 대기 환경법에 지정되어 있는 배출가스 시험 절차로써, 시험모드에는 LA-4 모드가 있음",-
FTP,Foil screened Twisted Pair,"이더넷 케이블 중에 하나로 피복 안쪽을 호일로 한 번 감싸고 그 호일 안쪽에 구리접지선을 추가한 형태. (Ref : UTP, STP)",-
FTPS,FUEL TANK PRESSURE SENSOR,연료탱크의 압력을 감지하는 센서,-
FTS,Fuel Temperature Sensor,연료온도센서. 연료의 온도를 검출하여 주입할 연료량을 결정할 때 필요한 정보를 ECU로 송부,-
FUDS,Federal Urban Driving Schedu,"도심주행모드. (ref. HWFET, NEDC)",-
FUEL CONSUMPTION(연비),-,차량의 연료 소비율,-
FUEL FILLER DOOR,FUEL FILLER DOOR,주유구 개패 조절 장치,-
FUEL PUMP,-,연료 탱크의 연료를 기화기 또는 인젝터에 공급해주는 장치.,-
FUEL PUMP BURNER,FUEL PUMP BURNER,연료를 태워서 엔진 온도를 올려주는 히터,-
FUEL SENDER,-,연료 탱크의 연료량을 검출하여 게시판의 연료 게이지에 보내 주는 장치를 말함.,-
FUEL TEMPERATURE SENSOR,FUEL TEMPERATURE SENSOR,연료 온도 감지 센서,-
FULL LIFE EFFICIENCY,FULL LIFE EFFICIENCY,-,-
FULL TOOL,FULL TOOL,"ALL TOOL 조건에 추가로 작업자, 환경, 생산 공정조건 (FEED, SPEED, CYCLE TIME, PRESSURE, TEMPERATURE)등이 양산과 동일한 상태에서 제작된 부품생산",-
FUNCTION AND FITNESS VALIDATION,FUNCTION AND FITNESS VALIDATION,-,-
FUSE & RLY BOX,FUSE AND RELAY BOX,퓨즈와 릴레이를 박스화 한것.,-
FUSE BOX,FUSE BOX,F/LINK를 거치는 전원을 제외한 나머지 전원을 적정량의 FUSE를 이용하여 SHORT 발생시 회로를 보호하는 장치.,-
FVCRL,FUSE VS CURRENT ROUTE LIST,FUSE와 전류의 경로를 나열한 양식,-
FWD,FRONT WHEEL DRIVE,전륜 구동.,-
FYI,For Your Information,(업무 용어) 참고 바람.,-
G.C.W,GROSS COMBINATION WEIGHT,견인차량의 GVW 상태에서 견인 가능한 TRAILER 중량과 견인 차량 GVW의 합.,-
G.V.W,GROSS VEHICLE WEIGHT(차량 총중량),완성차 상태에서 차량이 허용할 수 있는 최대적재 상태의 중량,-
G/BOX,GEAR BOX,기어박스,-
G/BOX LP,GLOVE BOX LAMP,"운전석 우측에 있는 소품, 잡 부품을 담는 박스를 밝혀주는 램프.",-
G/BOX LP SW,GLOVE BOX LAMP SWITCH,소품을 담는 박스를 밝혀주는 점등 스윗치.,-
G/SNSR,GRAVITY SENSOR,가속 감지 센서. 높이/위치 감지 센서.,-
GA,GRADE ABILITY,등반 능력. 자동차가 화물을 싣고 변속기 제1단에서 올라갈 수 있는 최고의 경사.,-
GAP,GAP,-,-
GAS,GASOLINE,휘발유.,-
GAS LIFTER,-,"차량의 HOOD, TRUNK. TAIL GATE 등의 개폐시 충격 완화 및 힘을 발생시키는 장치.",-
GASKET,-,SPEAKER의 음이 SPEAKER 그릴과 SPEAKER 사이로 흩어지는 것을 방지하기 위해 SPEAKER와 GRILLE 사이를 밀착시켜 주는 것.,-
GAWR,Gross Axle Weight Rating,총 축하중량.,-
GBT,"Guobiao ( ??, 구오비아) / T ( 推?, 트이찌에, recommended)",중국 전기차 충전 표준,-
GCU,GLOW CONTROL UNIT,예열 제어 장치.,-
GDI,GASOLINE DIRECT INJECTION,EMS 시스템에서 연소실 내에 연료를 직접 분사하는 방식(실린더 내부 직접분사 방식),-
GDS,Global Diagonostic System,"자동차 표준 진단 프로그램. 진단/계측/장비의 모든 기능을 동시에 실시하여, PC화면을 통한 진단 결과에 따른 정비정보를 제공",-
GDU,Gear Deceleration Unit,기어 감속 장치.,-
GEN,GENERAL,"전반적, 일반적.",-
GL,GRAND LUXIRIOUS,최고로 호화롭게 꾸민차.,-
GLASS ANT,GLASS ANTENNA,자동차의 뒷유리에 열선과 같이 붙어 있는 안테나.,-
GLOW BOX TML,GLOW BOX TML,글루어 박스 터미널,-
GLOW PLUG,-,냉시동시의 연소실 예열 장치. <기계> 디젤 엔진의 실린더 안에 부착된 소형 가열기. 시동을 걸기 전에 실린더 속의 공기를 미리 데우는 데 쓴다.,-
GM/I,Ground Monitoring/Interrupt,접지 이상.,-
GND,GROUND,접지.,-
GO & STOP SYSTEM,-,"교통체증이 심한 거리에서 전방 차량이 저속으로 가다 서다를 반복할 경우, 차량을 자동 주행케하는 시스템",-
GOJIRE,고지리,컨넥터 또는 사출물에 오삽입 및 오결합 방지.,-
GOVERNOR,-,차량의 운행 조건에 맞도록 연료의 분사량을 조절하는 장치.,-
GPC,Global Partnership Center,글로벌 상생협력 센터.,-
GPC,Global Product Certification,품질경영시스템 심사원 인증 프로그램,-
GPF,Gasoline Particulate Filter,가솔린 미립자 필터. 배기가스규제에 대응하기 위해 GDI엔진이 배출하는 입자상 물질을 저감하는 장치,-
GPS,GLOBAL POSITIONING SYSTEM,전 세계 측위 시스템으로 GPS 위성을 CNS를 지원하는 시스템.,-
GPU,Graphics Process Unit,그래픽 카드 칩. 그래픽 작업을 병렬 처리하여 사용자에게 출력해주는 역할.,-
GRADEABILITY,-,최대 적재 상태에서 운행할 수있는 최대 경사각,-
GS,GRAND SPORTS,당당한 스포츠 카.,-
GSC,Gear Shift Cylinder,기어 쉬프트 실린더. 유압으로 각 기어를 제어,-
GSP,GENUINE SPARE PARTS,순정 부품. 순수하게 A/S용으로만 사용되는 부품.,-
GSPS,G SENSING PROPORTIONING VALVE,적재량을 감지하여 제동시 감속도와 브레이크 유압을 감지 제어하는 장치.,-
GT,GLOVE TOP,세계 자동차 회사 선두주자,-
GT,Grand Tourer,이탈리아어 Gran Turismo 그란 투리스모 약자. 영어로는 그랜드투어러(Grand Tourer). 장거리 운전을 목적으로 설계된 고성능의 자동차,-
GTL,Gas to Liquid Products,천연가스를 액체화하는 공정,-
GTS,Gas Temperature Sensor,"가스 온도 측정센서. 연료압력 조절기 Unit Body에 설치되어 있으며, 서미스터(Thermistor) 소자의 원리를 이용하여 LPG 온도를 측정하여 ECU로 송부, ECU는 이 온도 값을 이용하여 계통 내의 LPG 특성을 파악하여 분사시기를 결정함",-
GV,GENERATION VEHICLE,차기세대 전술 차량.,-
GVI,Global Value Innovation,전반적인 가치 혁신.,-
GVPM,Global Vehicle Position Module,차량에 고정밀 GPS 정보와 TIME SYNC 정보를 제공하는 ECU.,-
GVW,GROSS VEHICLE WEIGHT,차량 최대 허용 중량. 공차중량+승차정원+최대적재량,-
GW,GROSS WEIGHT,총 중량.,-
GT,grand touring car,GT는 그랜드투어링카(grand touring car)의 약어로 장거리 여행에 적합한 고성능 자동차를 말한다.,-
H/CONT ILL,HEATER CONTROL ILLUMINATION,히터 조정기의 조명 장치.,-
H/FREE,HANDSFREE,운전중 핸드폰이 아닌 마이크와 스피커를 통해서 통화가 가능함,-
H/LP,HEAD LAMP,"야간 보안 장치로서 LOW BEAM, HIGH BEAM, TAIL로 되어 있으며 고속도로를 제외한 2차선 및 시내 주행시에는 HI BEAM을 사용하지 못하도록 규제하고 있음. 헤드램프는 2등식과 4등식이 있는데 2등식은 LOW시 LOW, HIGH시 HIGH LAMP가 점등이 되고, 4등식은 LOW시 LOW, HIGH시",-
H/LP C/MTR,HEAD LAMP CLEANER MOTOR,전조등에 먼지 및 오물을 제거하기 위하여 물뿌림을 하는 장치.,-
H/LP WASHER MTR,HEAD LAMP WASHER MOTOR,전조등 와셔 모타. (= H/LP C/MTR),-
H/LP WASHER RLY,HEAD LAMP WASHER RELAY,H/LP의 워셔모터를 구동하기 위한 릴레이,-
H/LP WASHER SW,HEAD LAMP WASHER SWITCH,전조등 와셔 작동 스윗치.,-
H/RESISTOR,HEATER RESISTOR,난방 장치를 위한 저항기. HEATER MOTOR의 속도를 조정하는 조정기.,-
H/UNIT,HYDRAULIC UNIT,"ABS, ESP용 모터+밸브+ECU구조의 유니트. 각부위 센서로부터 입력신호를 ECU에서 연산하여 밸브 및 모터를 이용하여 각바퀴의 유압을 제어하는 역할",-
HA,HYUNDAI AFTER,"양산 시점 전,후에 관계없이 실차 또는 대상 성능시험 및 내구력 시험을 완료하고 설계자의 품질 요구 수준을 만족하여야 하는 부품.",-
HAC,HILL START ASSIST CONTROL,언덕길에서 정차후 발진시 브레이크 제어를 통해 차량이 뒤로 밀리는 것을 방지하는 기능 (ESC 연계)효과 - 차량 밀림 방지를 통한 언덕길 주행안정성 향상,-
HAC SYSTEM,HIGH ALTITUDE COMPENSATION SYSTEM,HAC SYSTEM은 HAC와 ADDITIONAL BLEED AIR LINE으로 구성되었으며 고지에서 대기압이 낮아지므로 이를 보상하기 위한 시스템.,-
HACI,HYUNDAI AUTO CANADA INCORPORATED,현대 자동차 캐나다 법인.,-
HAD,Highway Autonomous Driving,"고속도로 자율주행. 레이더와 레이저 레이더(Light Detection And Ranging radar, LiDAR)를 채택하여 차선 표시를 읽어 차량이 차선을 유지하고 추월하거나 다른 도로로 이동.",-
HAI,HOT AIR INTAKE,난기 도입 장치.,-
HAND RAIL,-,입석 승객의 안전성 확보를 위한 차축 방향의 PIPE.,-
HAOS,hyundai ASSAN OTOMOTIV SANAYIVE TICARET A.S,현대자동차 터키 공장.,-
HATCH BACK,HATCH BACK,왜건으로서의 다용도성을 활룡해 합리적으로 설계한 승용차다. 차의 뒤쪽에 뚜껑을 단 스타일로 뒷문을 열면 실내와 바로 연결된다.,-
HAV,HOT AIR CONTROL VALVE,냉난기 제어 밸브.,-
HAZARD RLY,HAZARD RELAY,비상 경고등.,-
HAZARD SW,HAZARD SWITCH,비상 스윗치.,-
HBA,High Beam Assist,하이빔 보조. 야간 및 저조도 환경에서 마주 오는 차량 운전자의 눈부심을 최소화하면서 전방 가시거리를 최대한 확보하기 위해 하이빔의 작동을 제어하는 주행안전 시스템.,-
HBA,High Beam Assist,-,-
HBA II,High Beam Assist II,하이빔 보조 II,-
HBA II,High Beam Assist II,-,-
HCC,Heated Catalysts Controller,가열식 촉매 제어기.,-
HCS,HEIGHT CONTROL SYSTEM,차량의 중량에 따라 차고를 조절하는 시스템.,-
HCU,Heater Control Unit,공조 관리 유닛.,-
HCU,Hybrid Control Unit,하이브리드차만의 특징적인 기능을 운영하는 제어기.,-
HDA,Highway Driving Assist,"고속도로 주행 보조. 장시간 달려야 하는 고속도로 및 자동차 전용도로 주행 중 운전자의 피로를 낮춰주기 위한 주행편의 시스템. (고속도로 또는 자동차 전용도로에서 본선 내에 자동차가 올바르게 운행되고 있다고 판단되면, 주행 속도를 운전자가 설정한 속도 또는 도로의 제한속도에 맞춰 스스로 운행하는 기술)",-
HDA,Highway Driving Assist,-,-
HDA Ⅱ,Highway Driving Assist Ⅱ,고속도로 주행 보조 Ⅱ,-
HDA Ⅱ,Highway Driving Assist Ⅱ,-,-
HDC,Hill Descent Control,경사로 저속 주행장치. 언덕 내리막길에서 정속주행될수 있도록 컨트롤 하는 기능이며 ESP사양에 기능이 내장되어 있다.,-
HDP,Highway Driving Pilot,고속도로 자율주행,-
HDP,Highway Driving Pilot,-,-
HEATED STR'G WHEEL,HEATED STR'G WHEEL,겨울철 스티어링 휠에 내장된 열선의 발열로 짧은 시간안에 GRIP부 온도를 상승시켜 운전 편의성을 향상,-
HEMS,HYUNDAI ENGINE MANAGEMENT SYSTEM,운전 상황에 따라 점화 시기와 연료 분사등을 전자 제어하여 최적으로 엔진 성능을 집중 CONTROL하는 시스템.,-
HEV,HYBRID ELECTRIC VEHICLE,ENGINE과 전기 MOTOR를 병용하여 POWERTRAIN을 구성한 자동차를 말함.,-
HEWCS,ELECTRICAL WIRING CAD SYSTEM,전장설계 / 전장해석 및 지원 시스템.,-
HF EOP,High Flow Electric Oil Pump,고유량 전동식 오일펌프. DCT 기어 윤활과 클러치를 냉각시키는 윤활용 전동식 오일펌프. (엔진 회전수에 관계없이 펌프를 구동하여 냉각에 필요한 충분한 오일을 공급 & 기어들이 보다 부드럽게 돌아갈 수 있도록 윤활),-
HFM,Hot Film Air mass flow SNSR,열막식 공기량 센서. 흡입 공기량을 직접 계측하는 방식(MAFS. Mass Air Flow Sensor)중에 하나로 핫 필름(Hot Film)을 이용해서 흡입되는 공기량을 측정함.,-
HI BLOWER RLY,HIGH BLOWER RELAY,송풍기의 작동을 고속으로 하기위한 릴레이.,-
HIC,HOT IDLE COMPENSATOR,고온때의 공전 보상 장치.,-
HID,-,"제논 헤드라이트. 필라멘트를 사용하지 않고 벌브(Bulb)에 충전되어 있는 가스에 고전압을 쏘아 전극 사이의 방전을 통해서 빛을 내는 방식. 할로겐 헤드라이트에 비해 수명이 길고 더 밝으며, 소비 전력이 낮은 덕분에 발열이 작아 변형도 적음.",-
HID H/LAMP,HIGH INTENSITY DISCHARGE HEAD LAMP,"제논, 수은 등이 가스를 주입한 캡슐에 전압을 가하여 전극 사이의 플라즈마 방전에 의한 빛을 방출하여 광량 정량화와 조사범위 확대로 뛰어난 야간 시인성을 제공하는 안정성이 향상된 전조등. 할로겐 헤드라이트에 비해 수명이 길고 더 밝으며, 소비 전력이 낮은 덕분에 발열이 작아 변형도 적음.",-
HIE,Hydrogen IR-Emitter,"수소 충전구 적외선 송출기, 충전기와 차량 사이에 적외선 신호를 주고 받으며 차량 탱크 내 압력을에 맞춰 수소를 얼마나 더 넣을지 결정함",-
HILS,Hardware-In-the-Loop Simulation,"실제 하드웨어를 포함하는 시뮬레이션 기법. 가상 환경에서 집중적으로 테스트할 컴포넌트들을 실시간으로 시뮬레이션 하면서 closed loop에서 메카트로닉 시스템, 특히 전자제어장치(ECU, electronic 제어 units)를 동작",-
HI-SCANTOOL,-,자기진단에 이용되는 CHECK TOOL,-
HITCH MEMBER,-,유럽지역에서 주로 사용되는 TRAILER(EX:캠핑용 차량)을 견인하는 차량에 연결하는 장치.,-
HJ,HONEST ZONE,저지대 유도탄,-
HL,HEAD LAMP LOW,LIGHT SW(HL),-
HLL,Hidden Lighting Lamp,"히든 라이팅 램프. 시동이 꺼졌을 때는 그릴의 일부처럼 보이지만, 시동을 켜면 전면부 양쪽에 별이 떠있는 모습으로 LED를 점등함.",-
HLLD ACTR,HEAD LAMP LEVELING DEVICE ACTUATOR,"전조등 높이(상,하) 조절 장치. 야간 주행시 운전자의 핸들 조작시 전조등 방향이 연동되게 하는 장치로서 운전을 용이하게 하는 기능.",-
HLLD SW,HEAD LAMP LEVELING DEVICE SWITCH,"전조등 높이(상,하) 조절 스윗치. HLLD 작동 장치.",-
HMA,HYUNDAI MOTOR AMERICA,현대 자동차 미국 현지 법인.,-
HMI,Human-Machine Interface,사람과 기계의 상호 작용. 운전자들이 흔히 보이는 패턴을 분석하여 손이 닿기 쉬운 곳에 적절한 기능을 배치해 직관적으로 조작할 수 있도록 디자인하고 버튼을 배열한 것,-
HMIL,Hyundai Motor India Limited,현대 자동차 인도 공장.,-
HMM,HONDA MULTI-MATIC,HONDA에서 개발한 무단 변속기로써 CVT와 유사하다. HLLD 작동 장치.,-
HMSL,HIGH MOUNTED STOP LAMP,RR SPOILER나 RR GLASS의 상단 또는 하단에 설치하여 후방 또는 후후방 운전자에게 차량 제동시 상황을 조기 인식시켜 추돌을 방지하기 위한 보조제동등.,-
HMU,Hydrogen storage Management Unit,수소저장시스템 제어.,-
HMU,Hydrogen storage system Management Unit,수소 탱크 시스템 제어기,-
HOD,Hands On/Off Detection,-,-
HOME LINK,HOME LINK,"집안의 시스템(실내등, 보일러, 차고문…)을 리모콘으로 조작할 수 있는 기능이 있을 시 리모콘의 주파수를 차량의 HOME LINK내에 입력하여 차량에서 제어가 가능하도록 한 시스템(북미 사양) - ECM과 통합됨.",-
HOOD SW,HOOD SWITCH,엔진 뚜껑을 여는 스윗치.,-
HORN,HORN,"경음기로서 차량의 가장 앞쪽에 위치하며 HI, LOW로 구분되어있다.",-
HORN RLY,HORN RLY,경고음을 구동하기 위한 릴레이,-
HOT SHOT,HOT SHOT,성애 및 이물질 제거를 위해 WASHER액을 가열 시키는 장치,-
HP,HORSE-POWER,마력.,-
HP EOP,High Pressure Electric Oil Pump,고압 전동식 오일펌프. DCT 변속기 제어를 위해 오일을 공급하는 제어용 전동식 오일펌프. (변속기 제어에 필요한 유압을 축압기에 공급 및 축압기의 압력이 일정 범위를 유지하는 역할),-
HPC,High-Performance Computing,고성능 컴퓨팅. 고급 연산 문제를 풀기 위하여 슈퍼컴퓨터 및 컴퓨터 클러스터를 사용하는 것.,-
HPC(AV COMPUTER),High Performance Compute,"High Performance Compute. 자율주행의 가장 상위 제어기. 각종 센서(카메라, 레이더, 라이더, 안테나 등)으로부터 정보를 받아 연산 후 차량 주행을 제어.",-
HPCU,Hybrid Power Control Unit,"하이브리드 전력 제어 모듈. 하이브리드 시스템 제어는 물론, 모터 제어 및 고전압 배터리의 전압을 12V로 변환하는 기능 등을 수행. 구동 모터 & HSG(Hybrid Starter Generator: 하이브리드 스타터 제너레이터) 토크를 제어하는 인버터(Inverter) & 차량의 구동력을 분배하고 차량 운전 모드를 관장하는 HCU(Hybrid Control Unit) & 차량 전 장부하에 전원을 공급하고, 보조 배터리를 충전하는 LDC(직류 변환 장치)로 구성",-
